Speaker	Truth-Rating	Statement	PolitiFact explanations	URL
Rob Turner	0	The property appraiser's budget "is $1 million less today than when I took office 16 years ago."	Budget lower since 1996	/florida/statements/2012/aug/10/rob-turner/rob-turner-says-property-appraisers-budget-1-milli/	
Rob Turner	1	Says Ronda Storms voted to fund the 'Taj Mahal' courthouse.	Hard to foresee the future	/florida/statements/2012/aug/13/rob-turner/sen-ronda-storms-voted-courthouse-known-taj-mahal-/	
Ken Lanci	2	Ken Lanci is a lifelong Clevelander	A Clevelander by any other name?	/ohio/statements/2013/may/16/ken-lanci/ken-lanci-claims-he-lifelong-clevelander/	
Chris Moews	3	Milwaukee County taxpayers paid $370,000 to settle a lawsuit over a decision by Sheriff David A. Clarke Jr. to use "untrained corrections officers" rather than deputies to patrol the lakefront.	Details of case lost in scrambled facts	/wisconsin/statements/2014/jul/29/chris-moews/chris-moews-says-clarke-decision-lakefront-patrols/	
Forecast the Facts	4	Says Scott Walker runs a state government that bans "employees from talking about climate change."	Not exactly	/wisconsin/statements/2015/jun/16/forecast-facts/group-says-scott-walker-bans-employees-talking-abo/	
Kevin Rader	0	Lizbeth Benacquisto "broke election law 105 times, hiding special interest contributors."	She amended campaign finance reports in 2006 municipal race	/florida/statements/2010/oct/24/kevin-rader/florida-house-candidate-lizabeth-benaquist-accused/	
Kevin Rader	1	Lizbeth Benacquisto's supporters "would make (abortion) illegal in all cases, including rape, incest, even to save a woman's life."	Right to life groups that support her have no mention of exceptions	/florida/statements/2010/oct/29/kevin-rader/kevin-rader-says-extremist-groups-support-opponent/	
Jan Jones	2	"[W]hen adjusted for cost of living, Georgia ranks first nationally in teacher salary and benefits."	Claim tough to say either way	/georgia/statements/2012/feb/22/jan-jones/ga-head-class-teacher-compensation/	
Republican Party of Virginia	0	"Ninety-seven percent of the time. Thats how often Mark Warner votes with President Obama."	Near par for Senate Democrats   	/virginia/statements/2014/may/15/republican-party-virginia/virginia-gop-says-warner-voted-obama-97-percent-ti/	
Republican Party of Virginia	3	Gov. McAuliffe's budget would "raid school, other $$ 4 Obamacare in VA."	GOP sizzle fizzles	/virginia/statements/2014/apr/06/republican-party-virginia/virginia-gop-says-mcauliffe-budget-would-raid-scho/	
Republican Party of Virginia	3	Tim Kaine broke a campaign promise not to raise taxes.	"No taxes" pledge never existed	/virginia/statements/2011/apr/21/republican-party-virginia/virginia-republicans-say-tim-kaine-broke-campaign-/	
Republican Party of Virginia	5	Phil Puckett "voted no on sending the EPA a message that theyve gone too far not once, but twice."	An absurd, and wrong, claim	/virginia/statements/2011/jun/24/republican-party-virginia/virginia-gop-says-phil-puckett-voted-against-sendi/	
Dustin  Inman Society	3	U.S. Sen. Lindsey Graham says South Carolina "has a labor shortage and wants more immigration."	Ad claim taken out of context	/georgia/statements/2013/may/03/dustin-inman-society/anti-amnesty-group-takes-sen-graham/	
Milele Coggs	0	"In its current state, this bill is the most restrictive voter ID legislation in the nation."	State would go from among least restrictive to most restrictive	/wisconsin/statements/2011/feb/15/milele-coggs/milwaukee-ald-milele-coggs-says-bill-would-give-wi/	
Frank Pallone	4	"One year today since #GOP took control of the House" and "no new jobs."	Wrong in 140 characters or less	/new-jersey/statements/2012/jan/13/frank-pallone-jr/frank-pallone-says-twitter-republicans-have-contro/	
Gonzalo Barrientos	1	Says 55 percent of council members have come from area where only 10 percent of Austinites live.	Since '71, 50% from 4 ZIP codes	/texas/statements/2012/oct/25/gonzalo-barrientos/gonzalo-barrientos-says-55-council-members-come-ar/	
Juan "Chuy" Hinojosa	2	"We have less crime in the (Rio Grande) Valley than we do in other major Texas cities."	Crime happens everywhere	/texas/statements/2014/aug/08/juan-chuy-hinojosa/does-rio-grande-valley-have-less-crime-major-texas/	
Meg Whitman	1	California gubernatorial candidate Steve Poizner, a Republican, "gave $10,000 to Al Gore's recount" effort in 2000.	My-wife-made-me-do-it explanation doesn't entirely wash	/truth-o-meter/statements/2010/may/18/meg-whitman/california-race-whitman-says-poizner-donated-gore-/	
Meg Whitman	2	Jerry Brown "gave California state employees collective bargaining powers" and "now, state employees can retire at 55 with much of their salary for life."	Brown's tough/love relationship with unions	/truth-o-meter/statements/2010/oct/22/meg-whitman/meg-whitman-ad-blames-brown-too-generous-state-pen/	
Meg Whitman	4	Steve Poizner "increased his department's budget nearly 14 percent."	Lots of ways to calculate it; none approach 14 percent	/truth-o-meter/statements/2010/may/20/meg-whitman/whitman-accuses-poizner-14-percent-budget-increase/	
Barney Bishop	4	"There's no evidence anywhere that offshore drilling has hurt tourism in any area where it has been allowed."	Evidence of offshore oil drilling hurting tourism does exist	/truth-o-meter/statements/2009/oct/05/barney-bishop/offshore-oil-drilling-has-cost-tourism-industry-st/	
Chris Dodd	0	"We've got some 37-million of our fellow citizens who are living in poverty; about 12-million or 13-million are children."	Poverty numbers are right	/truth-o-meter/statements/2007/dec/13/chris-dodd/poverty-numbers-are-right/	
Chris Dodd	0	"Dodd brought both parties together to pass the Family and Medical Leave Act."	Dodd was "bulldog" in passing bill	/truth-o-meter/statements/2007/oct/30/chris-dodd/dodd-was-bulldog-in-passing-bill/	
Chris Dodd	1	"The fact of the matter is that my colleague from New York, Senator Clinton, there are 50 percent of the American public that say they're not going to vote for her."	Polarizing, yes, but electable, too	/truth-o-meter/statements/2008/jan/02/chris-dodd/polarizing-yes-but-electable-too/	
Chris Dodd	1	"With the resources it takes to execute just over three months of the Iraq war, we could fully fund the expansion of health care for needy children that Bush vetoed."	Dodd off by $5 billion on guns and butter	/truth-o-meter/statements/2007/oct/15/chris-dodd/dodd-off-by-5-billion-on-guns-and-butter/	
Chris Dodd	1	"We're spending $1.6 billion for all of Latin America in terms of aid and assistance, a fraction of what we're spending in Iraq, the $500 billion we've spent there"	Correct, although money not yet appropriated	/truth-o-meter/statements/2007/sep/14/chris-dodd/correct-although-money-not-yet-appropriated/	
Chris Dodd	2	Sixty-two percent of all personal bankruptcies are "caused by medical problems."	Dodd correctly cites a study that has issues	/truth-o-meter/statements/2009/jun/11/chris-dodd/medical-bankruptcy-study-not-clear-cut/	
Chris Dodd	2	"John Kerry was at 4 percent in the polls in December of 2003...and he ended up becoming the nominee of the party."	Cherry-picked numbers don't tell full story	/truth-o-meter/statements/2007/sep/07/chris-dodd/cherry-picked-numbers-dont-tell-full-story/	
Chris Dodd	2	"Barack Obama and Hillary Clinton have changed their positions (on the Iraq war withdrawal) to follow Chris Dodd."	Iraq claim questionable	/truth-o-meter/statements/2007/aug/10/chris-dodd/iraq-claim-questionable/	
Jodie Laubenberg	1	Says Texas state funds were spent on "a TV series on spouses cheating on their wives, kind of glorifying the act of cheating."	More icky than whoopee	/texas/statements/2013/apr/15/jodie-laubenberg/jodie-laubenberg-says-state-money-supports-tv-show/	
Jodie Laubenberg	5	Says a "rape kit" can be used to "clean out" women, "basically like" dilation and curettage.	Basically not at all	/texas/statements/2013/jun/24/jodie-laubenberg/jodie-laubenberg-says-texas-rape-kit-dilation-and-/	
Truth in Accounting	3	Each Georgia taxpayer would have to send $5,000 to the treasury to cover the states debt.	State takes obligations seriously	/georgia/statements/2014/aug/27/truth-accounting/georgias-finances-not-alarming-report-suggests/	
Alliance for America's Future	2	"We just cant afford to pay 100 percent of government employee benefits."	Government doesn't pay all the benefit costs now, either	/ohio/statements/2011/oct/12/alliance-americas-future/alliance-americas-future-says-government-cant-affo/	
Juda  Engelmayer	5	Creflo Dollar needed a $65 million Gulfstream G650 to carry thousands of pounds of food and other supplies -- as well as the Word of God -- worldwide.	Dollar's College Park church claims 30,000 members	/georgia/statements/2015/mar/23/juda-engelmayer/creflo-dollars-need-65-million-jet-never-gets-grou/	
Ismael Ozanne	2	"Im running the second-largest county district attorneys office  at 1985 staffing levels."	Some additional prosecutors and other staff	/wisconsin/statements/2014/jul/23/ismael-ozanne/attorney-general-candidate-says-hes-running-distri/	
Anne Goodman	0	Says food stamp growth, while high, lagged the rise in unemployment.	This claim served with accuracy	/ohio/statements/2012/dec/06/anne-goodman/cleveland-food-bank-executive-anne-goodman-says-fo/	
Florida Democratic Party	0	"(Bill) McCollum also voted for numerous amendments to weaken the legislation, even voting to make trains less accessible to those in wheelchairs."	McCollum sided with business on disabilities debate	/florida/statements/2010/aug/02/florida-democratic-party/florida-democrats-focus-mccollums-record/	
Florida Democratic Party	0	Bill McCollum explained his lack of action on mortgage fraud by saying, "You can't do everything."	That's what he said	/florida/statements/2010/may/13/florida-democratic-party/bill-mccollum-curbing-mortgage-fraud-you-cant-do-e/	
Florida Democratic Party	0	Bill McCollum voted four times to raise his own pay, by a total of $51,000, and earns a congressional pension worth more than $75,000 a year.	The charge is accurate -- even slightly understated	/florida/statements/2010/feb/24/florida-democratic-party/florida-democrats-say-mccollum-voted-raise-congres/	
Florida Democratic Party	1	Says Jeb Bush "oversaw (an) average in-state tuition increase of 48.2 percent during his tenure."	The national average was even higher	/florida/statements/2015/jun/30/florida-democratic-party/florida-dems-say-tuition-went-482-percent-jeb-bush/	
Florida Democratic Party	1	When Rick Scott "was deposed in lawsuits about his company, he took the Fifth 75 times."	Recycled claim from 2010	/florida/statements/2014/jun/17/florida-democratic-party/rick-scott-took-5th-75-times-democratic-party-ad-s/	
Florida Democratic Party	1	Says Rick Scott "oversaw the largest Medicare fraud in the nations history."	A record, since surpassed	/florida/statements/2014/mar/03/florida-democratic-party/rick-scott-rick-scott-oversaw-largest-medicare-fra/	
Florida Democratic Party	1	Says Rick Scott gave a deposition in which he invoked the Fifth Amendment 75 times about his dealings as head of Columbia/HCA hospital chain	Not part of the federal criminal investigation	/florida/statements/2010/oct/12/florida-democratic-party/rick-scott-dodges-answers-invoking-fifth-amendment/	
Florida Democratic Party	1	"Last year, (Bill McCollum) spent more than $2.2 million dollars to produce and air campaign-style TV ads where you were featured in almost every frame."	McCollum's million-dollar mug	/florida/statements/2010/may/25/florida-democratic-party/florida-democrats-accuse-bill-mccollum-reckless-sp/	
Florida Democratic Party	2	Says Rick Scott "cut education to pay for even more tax breaks for big, powerful, well-connected corporations."	The cuts did occur, but any causal relationship is murky	/florida/statements/2014/jul/07/florida-democratic-party/rick-scott-cut-education-pay-tax-breaks-democratic/	
Florida Democratic Party	2	Taking the Fifth Amendment in a deposition about the Columbia/HCA hospital chain he founded "means a truthful answer to the questions that (Rick Scott) was asked would incriminate him."	Depends on the circumstances	/florida/statements/2010/oct/12/florida-democratic-party/does-rick-scott-invoking-fifth-amendment-imply-gui/	
Florida Democratic Party	2	In ad attacking Rick Scott, says three executives of the Columbia/HCAhospital chain he ran were indicted.	But none convicted	/florida/statements/2010/oct/12/florida-democratic-party/fraud-allegations-dominate-new-democat-ad-attackin/	
Florida Democratic Party	2	Bill McCollum "cost the rest of us billions" as a member of Congress, including a national debt that "skyrocketed" to $4.7 trillion.	Right in the details, but lacking context	/florida/statements/2010/feb/24/florida-democratic-party/florida-democrats-say-mccollum-cost-taxpayers-bill/	
Florida Democratic Party	3	Says David Jolly "supports privatizing Social Security."	He supports discussing the option	/florida/statements/2014/feb/17/florida-democratic-party/democrats-say-david-jolly-david-jolly-supports-pri/	
Florida Democratic Party	3	Gov. Rick Scott "backed the federal shutdown."	Scott bashed Obama but dodged endorsing the shutdown	/florida/statements/2013/dec/18/florida-democratic-party/rick-scott-back-federal-shutdown-florida-democra/	
Florida Democratic Party	3	Bill Gunter would "drain millions from local public schools, and give our tax dollars to private, for-profit schools run by out-of-state corporations."	Making assumptions about a charter school proponent	/florida/statements/2013/oct/12/florida-democratic-party/campaign-mailer-says-bill-gunter-would-cut-funding/	
Florida Democratic Party	3	Rick Scott "increased tuition at our state colleges and universities by double digits."	Tuition hikes not the same at colleges and universities	/florida/statements/2013/aug/02/florida-democratic-party/rick-scott-increased-tuition-our-state-colleges-an/	
Florida Democratic Party	3	Says Mitt Romney belittled middle-class tax cuts "as nothing more than 'little Band-Aids.' "	He did use the phrase 'little Band-Aids'	/florida/statements/2011/dec/07/florida-democratic-party/florida-democrats-say-mitt-romney-called-middle-cl/	
Florida Democratic Party	4	A study ranked Florida "No. 1 in government corruption" under Gov. Rick Scott.	The pairing misleads	/florida/statements/2013/jun/20/florida-democratic-party/florida-democrats-link-states-no-1-corruption-rank/	
Florida Democratic Party	4	Says Rick Scott called education not a "core function" of the state.	Evidence by omission	/florida/statements/2013/mar/05/florida-democratic-party/florida-democrats-say-rick-scott-says-education-no/	
Florida Democratic Party	4	Says "Romney supported a law that could have made most common forms of birth control illegal."	Misrepresents Romney's careful language	/truth-o-meter/statements/2012/nov/02/florida-democratic-party/florida-dems-say-romney-supported-law-could-have-b/	
Florida Democratic Party	4	Shows in a television ad that police took evidence fromSolantic, Rick Scott's new health care company, after allegations emerged that the company was engaging in fraud.	Embellishing with the imagery	/florida/statements/2010/oct/12/florida-democratic-party/problems-rick-scotts-new-health-care-business-sola/	
Florida Democratic Party	5	Says Gov. Rick Scott cut more government jobs than were created in the private sector in Florida in 2012.	Only if you stop counting in August	/florida/statements/2013/mar/05/florida-democratic-party/florida-democrats-say-rick-scott-cut-more-jobs-cre/	
Florida Democratic Party	5	"McCollum admitted he didn't think that the subprime mortgage crisis was a big deal, telling reporters he thought that the subprime collapse had been exaggerated by the media and investors and that 'it's not the end of the world.' "	Misquoting McCollum -- and attributing a quote that he didn't say	/florida/statements/2010/may/11/florida-democratic-party/florida-dems-bill-mccollum-subprime-mortgage/	
Florida Democratic Party	5	"Congressman McCollum voted to dismantle Social Security."	Would a Florida congressman cross Grandma?	/florida/statements/2010/mar/04/florida-democratic-party/democrats-mccollum-dismantle-social-security/	
Bill Weimer	0	"Fireworks have never been safer, and their use continues to increase each year."	Injury rates dropping as sales continue to explode	/ohio/statements/2012/jul/04/bill-weimer/fireworks-executive-says-theyve-never-been-safer-a/	
Elizabeth Ames Jones	3	Says she balanced a $10 billion budget shortfall without raising taxes.	Impossible deed alone	/texas/statements/2012/apr/11/elizabeth-ames-jones/elizabeth-ames-jones-says-she-balanced-10-billion-/	
Charlie Justice	0	"Bill Young uses his campaign money for, among other things, a luxury car."	A Lincoln Continental then, a Lincoln Navigator now	/florida/statements/2010/apr/26/charlie-justice/justice-says-young-spent-campaign-money-luxury-car/	
Charlie Justice	0	"The Florida Legislature raised taxes and fees by almost $2 billion" in the 2009 session.	Tax hike for cigarettes, increases for driver licenses and car tags 	/florida/statements/2010/mar/08/charlie-justice/charlie-justice-says-legislature-raised-2-billion-/	
Charlie Justice	2	U.S. Rep. Bill Young "has accepted $737,000 from lobbyists and recipients of his earmarks."	Number's close, questions with how he got there	/florida/statements/2010/apr/26/charlie-justice/bill-young-earmark-campaign-contributions/	
Charlie Justice	5	Links jailed lobbyist Jack Abramoff to Rep. C.W. Bill Young.	Both have B's in their name. That count?	/florida/statements/2010/apr/26/charlie-justice/bill-young-jack-abramoff-charlie-justice/	
Sarah Ponder	1	Says $800,000 cost of Texas special legislative session would pay for 1.6 million condoms, 90,000 months of the pill or 20 full-time sexual health educators.	Probably not that many pills	/texas/statements/2013/jul/03/sarah-ponder/austinite-says-800000-cost-special-session-could-p/	
Concerned Taxpayers of America	2	Says Peter DeFazio votes with Nancy Pelosi 86 percent of the time.	Bad lapdog!	/oregon/statements/2010/oct/26/concerned-taxpayers-america/concerned-taxpayers-claim-peter-defazio-votes-nanc/	
Mike Foley	1	Ohios lost more jobs in March than any other state in the nation.	Loss leader	/ohio/statements/2013/may/13/mike-foley/state-rep-mike-foley-says-ohio-led-nation-job-loss/	
Mike Foley	1	Says Ohio law gives tax breaks "to rich people who own private jets."	Yours for the average price of $1.2 million a share 	/ohio/statements/2012/may/08/mike-foley/mike-foley-says-ohio-gives-tax-breaks-rich-people-/	
New Jersey Republican State Committee	4	"And the #jerseycomeback keeps rolling! Thanks to @GovChristie NJ now has lowest corruption risk of any state."	Gov doesnt get the credit	/new-jersey/statements/2012/apr/02/new-jersey-republican-state-committee/new-jersey-gop-credit-chris-christie-new-jersey-ha/	
New Jersey Republican State Committee	5	"Corrupt political bosses. Money laundering. Fraud. Its just another day at the office for Vin Gopal."	Political dirty laundry	/new-jersey/statements/2011/nov/04/new-jersey-republican-state-committee/vin-gopal-targeted-gop-attack-ad-new-jersey-assemb/	
Mark Butler	2	Darryl Hicks had seven ethics violations and didn't pay most of the fines.	Hicks late filing paperwork, but experts say not a real ethics violation	/georgia/statements/2010/oct/26/mark-butler/candidates-spar-over-ethics-claims/	
Dennis Richardson	0	"It's been 17 years that we've had unemployment higher than the national average in Oregon."	When it comes to unemployment, this claim works	/oregon/statements/2014/aug/04/dennis-richardson/has-oregons-unemployment-rate-been-above-national-/	
Dennis Richardson	1	"We are 49th in the nation for our graduation rate"	Not quite in the basement, but close	/oregon/statements/2014/jul/23/dennis-richardson/does-oregon-rank-49th-nation-its-high-school-gradu/	
Dennis Richardson	1	Says "$1,100 of the tuition paid by every Oregon university student annually goes just to pay the costs of PERS."	He's using a projection, but the math is sound.	/oregon/statements/2013/mar/29/dennis-richardson/does-1100-tuition-paid-every-oregon-university-stu/	
Dennis Richardson	2	"While 9,000 state employees were added to the states payroll, Oregons revenue forecasts dropped by more than $4 billion."	One set of numbers says yes; others point to smaller growth	/oregon/statements/2012/mar/16/dennis-richardson/did-oregon-add-9000-state-workers-while-revenue-dr/	
Dennis Richardson	4	"Women and men both are making less when you adjust for inflation than when" John Kitzhaber was first elected governor.	No one's getting rich, but incomes are up	/oregon/statements/2014/oct/30/dennis-richardson/are-oregonians-earning-less-now-when-john-kitzhabe/	
Dennis Richardson	4	"More than 400 car crashes occur each year on the current, congested Columbia River Bridge."	In the CRC project area, not on the bridge.	/oregon/statements/2013/sep/20/dennis-richardson/are-there-400-crashes-interstate-bridge-each-year/	
Dennis Richardson	4	Says Oregon state employees received a "catch-up" pay raise in 1981 -- just two years after they agreed not to take a raise in exchange for a retirement benefit.	Raises were double digit, but so was inflation	/oregon/statements/2011/sep/02/dennis-richardson/dennis-richardson-says-state-employees-received-15/	
Dennis Richardson	4	"Oregon is the only state out of the 50 states in the USA that continues to pay 100% of the medical benefits for its employees and their families."	The list is shrinking but it's not that short	/oregon/statements/2011/mar/28/dennis-richardson/dennis-richardson-says-oregon-only-state-pick-publ/	
Mark Sanford	0	"Our government has now 'spent, lent, or committed' $12.8 trillion in its attempt to blunt the recession."	That's a lot of zeroes	/truth-o-meter/statements/2009/may/15/mark-sanford/gov-sanford-cites-bloomberg-statistic-us-has-spent/	
Mark Sanford	4	Says former Clinton budget director Alice Rivlin said the stimulus bill "won't actually stimulate the economy."	That's not what she said	/truth-o-meter/statements/2009/feb/25/mark-sanford/sanford-incorrectly-describes-rivlin-comment-stimu/	
Mark Sanford	4	"The Congressional Budget Office has found that (the stimulus) bill will lead to a real 0.1 to 0.3 percent reduction in gross domestic product by 2019."	Cherry picking the worst number - and distorting it	/truth-o-meter/statements/2009/feb/23/mark-sanford/sanford-distorts-impact-stimulus-bill/	
Daniel Lipinski	3	The Senate version of the health care reform bill "allows taxpayer  money to pay directly for abortion in federal community health centers funded in  the bill."	Not the intent of funding	/truth-o-meter/statements/2010/mar/09/daniel-lipinski/lipinski-says-senate-health-bill-allows-taxpayer-m/	
Thaddeus McCotter	1	"When lenders foreclose on homes, they typically suffer losses that exceed 30 percent of the value of the home."	It's not definitive, but evidence points that way	/truth-o-meter/statements/2011/aug/23/thaddeus-mccotter/thaddeus-mccotter-says-lenders-lose-30-percent-for/	
Doug Collins	1	President Obama said "22 times" he could not authorize immigration reform by executive order.	GOP majority capitulated	/georgia/statements/2015/mar/06/doug-collins/collins/	
National Education Association	1	Says that Josh Mandel voted to let insurance companies deny coverage for autism	Voted against a bill to require coverage	/ohio/statements/2012/oct/12/national-education-association/nea-says-josh-mandel-voted-let-insurance-companies/	
U.S. Census Bureau	1	Federal law requires residents to participate in the U.S. governments American Community Survey.	A mandate unenforced	/texas/statements/2014/jan/09/us-census-bureau/americans-must-answer-us-census-bureau-survey-law-/	
Luis Gutierrez	1	Says under the Senate immigration bill, newly legalized immigrants will "pay every tax possible, but you dont get a single benefit" for 10 years.	For means-tested programs, yes	/truth-o-meter/statements/2013/jul/08/luis-gutierrez/senate-bill-says-undocumented-immigr/	
Luis Gutierrez	1	"Forty percent of the undocumented workers in this country" entered the U.S. legally and "overstayed their visa."	As best we can tell with old estimates	/truth-o-meter/statements/2010/jul/12/luis-gutierrez/democratic-rep-gutierrez-says-40-percent-illegal-i/	
Luis Gutierrez	2	"We spend $18 billion a year on making sure that the federal government has immigrant enforcement agents. That's more than DEA and the ATF and the FBI and all the other enforcement (agencies) combined."	How do you define 'enforcement' agency?	/truth-o-meter/statements/2014/jul/15/luis-gutierrez/luis-gutierrez-says-us-spends-more-immigration-bor/	
Kesha Rogers	2	Says President Barack Obama was responsible for "the assassination of at least four American citizens" in drone strikes.	3 deaths unintended	/texas/statements/2014/mar/19/kesha-rogers/four-us-citizens-killed-obama-drone-strikes-3-were/	
Kesha Rogers	3	David Alameel "is giving thousands of dollars to support the Republican Party candidates" including John Cornyn and Greg Abbott.	$ee every donation	/texas/statements/2014/apr/03/kesha-rogers/david-alameel-has-been-5-million-bipartisan-donor-/	
Ted Nugent	2	"Weve got four Supreme Court justices who  signed their name to a declaration that Americans have no fundamental right to self-defense."	"Fundamental" is right	/truth-o-meter/statements/2012/apr/23/ted-nugent/ted-nugent-says-four-supreme-court-justices-declar/	
Ted Nugent	2	Rick Perry "has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections."	Two others when rock was young	/texas/statements/2011/jun/14/ted-nugent/ted-nugent-says-rick-perry-first-governor-win-thri/	
Ted Nugent	5	Says a picture he posted on Facebook of a man posing in front of five decapitated human heads is "one of the subhuman mongrels our president set free."	Uses a gruesome, and debunked, photo	/punditfact/statements/2014/jun/16/ted-nugent/nugent-ties-gory-photo-bergdahl-prisoner-swap/	
Ted Nugent	5	"I've been a cop in Lake County, Michigan, since 1982 thereabout. I conduct federal raids with the DEA and ATF and U.S. Marshals and the FBI and Texas Rangers."	He must be deep undercover	/punditfact/statements/2014/feb/27/ted-nugent/ted-nugent-cnn-i-conduct-federal-raids-dea-and-atf/	
David Pennington	0	The proposed transportation bill "could be the largest tax increase in Georgia history."	Sales tax vote could be historic for many reasons	/georgia/statements/2011/aug/22/david-pennington/transportation-sales-tax-could-be-historic-wrong-r/	
David Pennington	3	Any state tax law has to start in the House and the renewal of the state hospital bed tax this year started in the Senate, which is unconstitutional.	Legal opinions wrinkle bed tax claim	/georgia/statements/2013/oct/09/david-pennington/deals-rival-says-bed-tax-renewal-flawed/	
Nicholas Gorham	0	The General Assembly "has no explicit constitutional authority to impose income, sales, estate and the myriad of other taxes upon us."	Tax power unstated, but all too real	/rhode-island/statements/2014/jan/19/nicholas-gorham/former-ri-rep-nicholas-gorham-says-state-general-a/	
Carole Smith	5	Rebuilding three high schools will benefit 40 percent of Portland Public School students.	Maybe in a theoretical world with theoretical enrollment	/oregon/statements/2010/nov/23/carole-smith/portland-schools-superintendent-carole-smith-says-/	
Get EQUAL Texas	2	"Between Austin, San Antonio, Houston and Dallas over 8,000 same-sex couples are raising children."	And Fort Worth, San Marcos, Round Rock...	/texas/statements/2011/feb/14/get-equal-texas/get-equal-texas-says-over-8000-gay-couples-raising/	
Kathleen Falk	0	Says Scott Walker enacted "the biggest cuts to education in our states history."	The few others pale in comparison	/wisconsin/statements/2012/feb/19/kathleen-falk/recall-candidate-kathleen-falk-says-governor-scott/	
Kathleen Falk	0	Says she got unions to agree to "about $10 million in reduction" of salaries and health benefits while serving as Dane County executive in Wisconsin.	The numbers check out	/wisconsin/statements/2012/jan/18/kathleen-falk/possible-recall-challenger-wisconsin-gov-scott-wal/	
Kathleen Falk	1	Says Gov. Scott Walker cut aid to local schools despite campaigning on trying to restore two-thirds state funding for education	Yes, but he also cautioned it might not be achieved in first budget	/wisconsin/statements/2012/mar/14/kathleen-falk/kathleen-falk-says-gov-scott-walker-cut-school-aid/	
Kathleen Falk	2	"Together we added more jobs than any other area" while I was Dane County executive.	Numbers on target, but credit larger forces too	/wisconsin/statements/2012/apr/13/kathleen-falk/democrat-kathleen-falk-says-under-her-leadership-d/	
Kathleen Falk	2	Says Gov. Scott Walker "didnt balance the budget" so "we now have a larger state deficit 14 months into (his) term than we did when he was elected."	He did balance it, but new projections show shortfall	/wisconsin/statements/2012/mar/18/kathleen-falk/kathleen-falk-says-gov-scott-walker-didnt-balance-/	
Kathleen Falk	2	Says Wisconsin Gov. Scott Walker doesn't make his calendar public -- "he's on our dime and we don't know where he is."	Mixed bag on what he releases and when	/wisconsin/statements/2012/mar/08/kathleen-falk/wisconsin-dem-candidate-governor-says-scott-walker/	
Kathleen Falk	3	Says Gov. Scott Walker signed abortion, sex education and discrimination bills "in secret."	Quiet? Very. Secret? Not if announced by news release	/wisconsin/statements/2012/apr/22/kathleen-falk/kathleen-falk-says-gov-scott-walker-signed-bills-a/	
Kathleen Falk	4	Wisconsin women "are paid 81 cents to the dollar of a man doing the same job."	Study looks at overall numbers, doesnt touch on the same job	/wisconsin/statements/2012/may/02/kathleen-falk/gubernatorial-hopeful-kathleen-falk-says-women-wis/	
Kathleen Falk	4	Says Wisconsin women facing pay discrimination can't "do something about it" under bill passed by Republicans.	One legal option goes away, three remain	/wisconsin/statements/2012/apr/10/kathleen-falk/dem-wisconsin-governor-recall-says-gop-backed-bill/	
Kathleen Falk	4	Since Wisconsin Gov. Scott Walker took office, "we are losing jobs at rates not seen in decades."	Jobs are up	/wisconsin/statements/2011/dec/14/kathleen-falk/potential-recall-candidate-kathleen-falk-says-job-/	
Michael Julian Bond	1	Almost 400 arrests in the city last year for panhandling-related offenses involved just 78 suspects, an indication that the same people are panhandling over and over.	Most problems caused by relative few	/georgia/statements/2012/oct/02/michael-julian-bond/atlanta-councilman-targets-repeat-panhandling-offe/	
Richard Shelby	4	"The bill reported out of committee sets up a $50 billion slush fund that, while intended for resolving failing firms, is available for virtually any purpose that the treasury secretary sees fit."	Orderly Liquidation Fund is no blank check	/truth-o-meter/statements/2010/apr/16/richard-shelby/sen-richard-shelby-overlooks-safeguards-financial-/	
Deborah Kafoury	1	"When Deborah took office, the (Sellwood Bridge) project had languished for years, with only $11 million in funds. With her leadership the remaining funding was secured that got the project moving forward."	For the most part, not a bridge too far	/oregon/statements/2014/may/08/deborah-kafoury/did-deborah-kafourys-leadership-take-sellwood-brid/	
Tom Price	0	Under current conditions, by 2023, the interest payments on the national debt will be $722 billion, larger than the projected defense spending of $696 billion.	Projections show debt gradually rising	/georgia/statements/2015/mar/27/tom-price/prices-budget-point-about-rising-deficits-money/	
Tom Price	0	Americans spend more than $160 billion and 6 billion hours per year complying with the tax code.	Right on the money	/georgia/statements/2013/sep/04/tom-price/call-tax-overhaul-cites-high-cost-money-time/	
Tom Price	0	"Mr. President, multiple times from your administration there have come statements that Republicans have no ideas and no solutions" on health care.	Yes, they've said that several times	/truth-o-meter/statements/2010/jan/29/tom-price/price--obama-health-care-no-ideas/	
Tom Price	1	Says President Barack Obamas proposed budget includes two new tax increases that would collect about $14 billion.	Price pretty much right	/georgia/statements/2013/may/17/tom-price/price-takes-obama-task-budget-proposals/	
Tom Price	1	"[N]early one in three primary care doctors are forced to limit the number of Medicare patients they see."	Medicare is ailing and this congressman has the diagnosis	/georgia/statements/2012/jan/24/tom-price/congressmans-claim-about-medicare-mostly-rings-tru/	
Tom Price	1	"Medicare began as a public option and now holds 97 percent of the market share."	Medicare was intended to cover most elderly	/truth-o-meter/statements/2009/sep/16/tom-price/medicares-history-public-option/	
Tom Price	2	The fiscal cliff deal "increased spending."	Price isn't quite right	/georgia/statements/2013/jan/15/tom-price/claim-spending-rose-under-fiscal-cliff-deal-misses/	
