Speaker	Truth-Rating	Statement	PolitiFact explanations	URL
Jorge Elorza	0	We have a retiree that is collecting a $17,000 paycheck a month . . . tax free.	And 36 others are collecting over $100,000 a year	/rhode-island/statements/2014/oct/05/jorge-elorza/jorge-elorza-says-providence-paying-17000-month-ta/
Jorge Elorza	1	Our median income here in Providence is the same as the median income in Mississippi.	It's actually lower	/rhode-island/statements/2014/nov/27/jorge-elorza/mayor-elect-jorge-elorza-says-providence-has-same-/
Jorge Elorza	1	In the last six years of Ciancis administration violent crime was down in the United States. It was down in the region. It was down in Rhode Island. But it was up in Providence.	Bucking the trend	/rhode-island/statements/2014/oct/06/jorge-elorza/jorge-elorza-ciancis-last-years-mayor-crime-provid/
Jorge Elorza	3	We have a goal of 10 percent of [City of Providence] contracts going to women and minority businesses. In reality, less than 1 percent of contracts go to women and minority businesses.	His point may be valid, but his numbers are off	/rhode-island/statements/2014/oct/01/jorge-elorza/elorza-says-less-1-providence-contracts-go-women-m/
Jorge Elorza	4	The reality is that we have roughly 15,000 undocumented immigrants living in the state...	Ten-year-old numbers	/rhode-island/statements/2011/oct/11/jorge-elorza/law-professor-says-ri-has-roughly-15000-undocument/
Betsy Miller-Jones	4	Did you know that in 2013 over 50 percent of all babies born in Oregon were Hispanic?	One missing word can mean a lot	/oregon/statements/2014/apr/17/betsy-miller-jones/were-more-half-all-babies-born-oregon-2013-hispani/
Ryan Eller	4	Jesus was an undocumented immigrant.	His family fled to another part of the Roman Empire	/punditfact/statements/2015/sep/03/ryan-eller/jesus-was-undocumented-immigrant-ordained-minister/
Americans for Prosperity	3	Under the administration of Gov. Scott Walker, northern Wisconsins mining economy is moving forward and more people are getting good, high-paying jobs.	No hiring boom yet	/wisconsin/statements/2014/oct/16/americans-prosperity/americans-prosperty-says-workers-are-getting-high-/
Americans for Prosperity	3	new mandates are already reducing full-time employment.	Attack on Landrieu oversold at best	/truth-o-meter/statements/2013/nov/06/americans-prosperity/conservative-group-says-mary-landrieu-backs-obamac/
Americans for Prosperity	3	(President Barack Obama gave) half a billion in taxpayer money to help his friends at Solyndra, a business the White House knew was on the path to bankruptcy.	Overheated claim about solar company	/florida/statements/2011/nov/15/americans-prosperity/solyndra-ad-president-barack-obama-taxpayer-money/
Americans for Prosperity	4	Health care premiums up 90 percent in New Hampshire.	Cherry-picked number from tiny sample	/new-hampshire/statements/2014/may/01/americans-prosperity/afp-says-health-care-premiums-90-percent-new-hamps/
Americans for Prosperity	5	A government panel that didn't include cancer specialists says women shouldn't  receive mammograms until age 50...If government takes over health care,  recommendations like these could become the law for all kinds of diseases.	Amendments assure mammogram coverage for women over 40	/truth-o-meter/statements/2010/mar/16/americans-prosperity/ad-claims-if-health-reform-bill-passes-government-/
Emergency Committee for Israel	3	While President Obama says all options are on the table for preventing a nuclear Iran, Hagel says military action is not a viable, feasible, responsible option.	The Hagel quote is from 2006, and he later included military options	/truth-o-meter/statements/2013/jan/08/emergency-committee-israel/pro-israel-groups-ad-depicts-obama-hagel-iran/
Emergency Committee for Israel	3	When Congress voted to condemn Iran for sentencing a Christian pastor to death, (U.S. Rep. Lois) Capps was the only member who voted no.	It was a mistake, immediately corrected	/truth-o-meter/statements/2012/oct/11/emergency-committee-israel/pro-israel-group-attacks-rep-lois-capps-casting-on/
Matt Gaetz	1	A Cornell University research study concludes that ethanol generates a 29 percent energy loss, meaning it takes more than a gallon of gasoline to produce a gallon of ethanol.	Expert says exactly that  but he's in minority	/florida/statements/2011/oct/19/matt-gaetz/rep-matt-gaetz-says-ethanol-study-shows-its-not-wo/
Nia-Malika Henderson	3	Democrats very much are in the pocket of the NRA.	A stretch by most definitions	/punditfact/statements/2014/apr/17/nia-malika-henderson/msnbc-guest-says-democrats-are-pocket-nra/
Bill Kennemer	0	We just don't want to get to be like Louisiana, where you have drive-up daiquiri shops.	Slurp!	/oregon/statements/2012/sep/13/bill-kennemer/are-there-daiquiri-drive-thrus-louisiana/
Joe Miller	4	If 20 million illegals vote, you can kiss the Second Amendment goodbye.	It would take a lot more than that	/truth-o-meter/statements/2014/aug/14/joe-miller/granting-illegal-immigrants-amnesty-will-destroy-s/
Fred Smith	1	The average bonus [on Wall Street] is about $100,000...The bonuses on Wall Street are down 44 percent.	He's off just a little	/truth-o-meter/statements/2009/feb/05/fred-smith/fedex-chair-delivers-perspective-bonuses/
Richard Durbin	0	The reality is, we are holding some of the most dangerous terrorists in the world right now in our federal prisons, including the mastermind of the 1993 World Trade Center bombing, the 'shoe bomber,' the 'Unabomber,' and many others.	Yes, terrorists held in federal prisons	/truth-o-meter/statements/2009/may/21/richard-durbin/durbin-correct-convicted-terrorists-are-federal-pr/
Joseph Yost	1	One third of our age group (Millennials) have moved back in with their parents.	But it's not unique	/virginia/statements/2015/feb/23/joseph-yost/yost-says-one-third-millennials-live-parents/
Allan Fung	0	Governor Carcieri has not been campaigning with me.	And there's no good evidence that he has	/rhode-island/statements/2014/oct/24/allan-fung/allan-fung-former-ri-gov-donald-carcieri-has-not-b/
Allan Fung	1	We have created new jobs here in Cranston -- more than 1,000.	Hyperbole aside, evidence supports claim	/rhode-island/statements/2013/nov/10/allan-fung/gubernatorial-candidate-mayor-allan-fung-says-his-/
Allan Fung	4	Nazi imagery [was used] by the Block for Governor campaign to describe supporters of Allan Fung for Governor.	A GOP volunteer who donated $125 is not "the campaign"	/rhode-island/statements/2014/aug/24/allan-fung/allan-fung-says-ken-blocks-campaign-compared-fung-/
Evan Feinberg	4	Local law enforcement . . . will have access to the [Obamacare] Data Hubs treasure trove of personal info.	No polyp pictures for police!	/rhode-island/statements/2013/oct/20/evan-feinberg/activist-says-local-police-will-have-access-obamac/
David Scott	2	Weve got an average of 5,600 soldiers committing suicide. Thats about 20 a day.	vet suicides and the VA	/georgia/statements/2014/jun/06/david-scott/not-all-veteran-suicides-can-be-tied-va-care/
Kathy Miller	2	A Houston school district analysis found that the (State Board of Education) more than quadrupled the number of historical figures students must learn about.	Incorrect newspaper blog leads to overstatement	/texas/statements/2010/jun/02/kathy-miller/miller-state-board-education-more-quadrupled-numbe/
Mike Pence	0	Tens of billions of dollars (from taxpayer-funded bailouts) ... flowed straight through AIG into the coffers of foreign corporations and foreign banks.	Merci beaucoup, American taxpayer	/truth-o-meter/statements/2009/mar/20/mike-pence/tens-billions-aig-bailout-went-foreign-comanies/
Mike Pence	2	To use money from the TARP fund in the manner that is being discussed by the White House and congressional Democrats would be a violation of the law.	Actually, Congress makes the law	/truth-o-meter/statements/2009/dec/08/mike-pence/pence-says-democrats-plan-spend-tarp-money-economi/
Mike Pence	2	As a result of the House Republican bill, the nonpartisan Congressional Budget Office now confirms that families will see their health care premiums reduced by up to 10 percent.	Only if you are among the 15 percent in the small group market	/truth-o-meter/statements/2009/nov/06/mike-pence/us-rep-mike-pence-says-cbo-confirms-gop-health-pla/
Mike Pence	4	Anybody who is familiar with the historical data from the IRS knows that raising income tax rates will likely actually reduce federal revenues.	News flash: Raising taxes increases revenues	/truth-o-meter/statements/2010/nov/09/mike-pence/mike-pence-says-raising-taxes-lowers-tax-revenues/
Mike Pence	4	Should Democrats get their way, every income tax bracket will increase on Jan. 1, 2011. Every single one.	Democrats would at least keep the cuts for all but the richest	/truth-o-meter/statements/2010/jul/22/mike-pence/mike-pence-says-democrats-want-all-bush-tax-cuts-e/
Mike Pence	4	This administration and this Congress have been systematically cutting funding to border security since the Democrats took control.	More for real Border Patrol officers, less for Bush's virtual fence  	/truth-o-meter/statements/2010/may/05/mike-pence/republican-says-obama-cut-budget-illegal-immigrati/
Mark Hinkle	0	Exit polls indicate that Democrats get over 70 percent of LGBT votes in federal elections.	From Clinton (71 percent) to Kerry (77 percent)	/texas/statements/2010/oct/04/mark-hinkle/mark-hinkle-chairman-libertarian-party-says-exit-p/
David Sutton	1	excise taxes are...disproportionately burdening middle- and lower-income consumers.	Higher and higher	/georgia/statements/2013/jul/16/david-sutton/spokesman-takes-obama-cigarette-tax-idea/
Jim Waldman	3	You are prohibited from walking into the Capitol with a gun, but you can go after the County Commission or the School Board.	Waldman misfired here	/florida/statements/2011/oct/27/jim-waldman/rep-waldman-says-you-are-prohibited-walking-capito/
Tom Pauken	3	Our recent state budgets have far exceeded population and inflation growth.	State spending alone usually doesn't	/texas/statements/2013/aug/01/tom-pauken/tom-pauken-says-recent-state-budgets-have-greatly-/
Austan Goolsbee	1	Over the last 15 months, we've added more than 2 million jobs in the private sector. That's far in excess of what it was in the comparable period after the last recession.	Better than Bush recovery, but middling overall	/truth-o-meter/statements/2011/jun/06/austan-goolsbee/austan-goolsbee-says-current-recovery-beats-job-cr/
Austan Goolsbee	1	Manufacturing is having its best employment year in almost 15 years.	Manufacturing jobs have gone up, after a long, steep slide	/truth-o-meter/statements/2011/jun/06/austan-goolsbee/austan-goolsbee-says-manufacturing-jobs-growing-fa/
Preston Smith	5	We have my opponent Sam Olens to thank for [the Arizona immigration ruling] since he was on the team that got Clinton elected.	Claim that Olens deserve blame for Arizona ruling is far out	/georgia/statements/2010/aug/02/preston-smith/olens-deserves-some-blame-immigration-ruling-oppon/
Judy  Shiprack and Diane McKeel	2	in November 2010, voters overwhelmingly supported the idea of creating a (library) district.	A technical change isn't necessarily support.	/oregon/statements/2011/dec/30/judy-shiprack-diane-mckeel/did-multnomah-county-voters-favor-library-district/
James Buchal	4	The government -- not the armed forces -- is stockpiling hundreds of millions of rounds of ammunition for domestic use.	The numbers don't tell the story	/oregon/statements/2014/jun/27/james-buchal/government-stockpiling-hundreds-millions-rounds-am/
Maria Bartiromo	4	As a result of Obamacare, we are becoming something of a part-time employment country.	So far, no there, there	/truth-o-meter/statements/2013/oct/22/maria-bartiromo/bartiromo-says-obamacare-turning-us-part-time-empl/
Charles Bass	3	America used to be the third easiest country to get established in a business. It's now number 17.	Wrong reading, wrong number	/new-hampshire/statements/2012/jul/13/charles-bass/it-getting-more-difficult-start-business-us-and-it/
Charles Bass	3	The expiration of the Bush-era tax cuts ... would be the biggest tax increase in the history of the country, about $4.6 trillion over 10 years.	Not when you compare apples with apples	/new-hampshire/statements/2012/may/11/charles-bass/expiration-bush-tax-cuts-largest-increase/
Bill  Kristol	1	Twenty percent of our electricity currently comes from nuclear power plants. I think there are 104 in the United States, two of them around the coast in California.	Basically right on all three facts	/truth-o-meter/statements/2011/mar/16/bill-kristol/bill-kristol-says-20-percent-us-electricity-comes-/
Karen Handel	0	The Senate immigration bill is  filled with things like rewards for au pair agencies, Alaskan seafood processors and Vegas casinos.	It's all there	/georgia/statements/2013/jul/26/karen-handel/immigration-bill-includes-several-nods-industries/
Karen Handel	0	The truth is, Planned Parenthood does not provide mammograms. Planned Parenthood refers women to mammography providers, serving as the middlewoman, if you will.	Rare agreement by both sides	/georgia/statements/2012/sep/25/karen-handel/karen-handel-seeks-set-record-straight-komen-plann/
Karen Handel	1	Obamacare will provide coverage for abortions, despite the presidents commitment that it would not.	A page turner	/georgia/statements/2012/sep/24/karen-handel/karen-handel-lays-out-case-against-obama-others-ne/
Karen Handel	2	John Oxendine is under a state ethics investigation because he illegally funneled more than $120,000 to his campaign from shady insurance political action committees in Alabama.	Oxendine's innocent until proven guilty	/georgia/statements/2010/jul/12/karen-handel/gubernatorial-candidate-karen-handel-said-rival-jo/
Karen Handel	3	Only in Washington would politicians spend $27 million to teach Moroccans how to make pottery.	Pottery only part of the program	/georgia/statements/2013/aug/21/karen-handel/pottery-class-claim-takes-truth-spin/
Sergey Lavrov	5	Congress is a very special group of people. More than 80 percent of them never left the United States.	Many have used their passports	/truth-o-meter/statements/2014/dec/17/sergey-lavrov/russian-foreign-minister-sergey-lavrov-says-80-us-/
Tim Ryan	0	From '05 to '09, we've had 1,100 soldiers commit suicide, one every 36 hours.	Actual number of deaths is slightly higher	/ohio/statements/2011/apr/08/tim-ryan/rep-tim-ryan-cites-rising-numbers-service-personne/
Tim Ryan	0	Congressman Ryan has secured a grand total of $116,838,763 to date (for the Mahoning Valley) and has an additional $27,095,000 pending in FY2010 spending bills.	Figure actually understates earmarks for his district	/ohio/statements/2010/nov/17/tim-ryan/rep-tim-ryan-not-shy-about-bringing-home-bacon/
Tim Ryan	1	If you are born poor in America, we rank ninth or tenth in our citizens ability to climb up through that ladder and get themselves into the middle class.	The elusive American dream	/ohio/statements/2013/jun/26/tim-ryan/rep-tim-ryan-says-united-states-ranks-behind-other/
Tim Ryan	1	We have a $2 trillion to $3 trillion infrastructure deficit. Weve got work that needs to get done. Weve got people that want to go to work.	Claim on point, but overlooks some change since study was done	/ohio/statements/2011/oct/06/tim-ryan/tim-ryan-says-nation-needs-spend-2-3-million-get-i/
Tim Ryan	1	Were only spending 2 percent of our GDP on our infrastructure, while China and India are spending 10 percent of their GDP reinvesting back into their country.	Slightly off, but close enough	/ohio/statements/2011/aug/09/tim-ryan/rep-tim-ryan-says-china-and-india-outspend-us-infr/
Tim Ryan	1	For every dollar we invest in Head Start, we get $5 to $7 back into our economy.	Bolsters education and ultimately earning power	/ohio/statements/2011/jun/29/tim-ryan/rep-tim-ryan-says-head-start-programs-are-cost-ben/
Tim Ryan	5	A report in Navy Times said that 7.3 percent of Army, Navy and Marines have thought about attempting suicide.	Here's why trusting a blog is not always best 	/ohio/statements/2011/apr/08/tim-ryan/series-errors-thwarts-rep-tim-ryans-accuracy-milit/
Georgia Department of Public Health	1	Georgia has the nation's fifth largest Women, Infants and Children (WIC) Supplemental Nutrition program, serving more than 270,000 mothers, babies and children every day.	Program participation, costs fall	/georgia/statements/2014/apr/15/georgia-department-public-health/georgias-wic-program-ranked-7th-largest/
Florida for All	3	Rick Scotts Administration spent over $100,000 of taxpayer money during their first voter purge attempt in 2012.	Not that much	/florida/statements/2014/jan/23/florida-all/florida-spent-over-100000-noncitizen-voter-purge-2/
Steny Hoyer	1	The majority of (the American people) voted for a Democratic House.	An odd occurrence	/truth-o-meter/statements/2013/feb/19/steny-hoyer/steny-hoyer-house-democrats-won-majority-2012-popu/
Steny Hoyer	1	Some 500 detainees were released from Guantanamo during the Bush administration.	Some released, some transferred to other countries 	/truth-o-meter/statements/2009/jun/18/steny-hoyer/hoyer-correct-500-guantanamo-detainees-were-releas/
Steny Hoyer	2	We went from a $5.6 trillion surplus that George Bush inherited to over ... $11-plus trillion debt when George Bush left office.	A talking point that needs more qualifiers	/truth-o-meter/statements/2011/jun/02/steny-hoyer/steny-hoyer-says-george-w-bush-inherited-56-trilli/
Steny Hoyer	2	The Republicans didn't have a budget in '02, '04, '06.	Did you forget that time when the Democrats controlled the Senate?	/truth-o-meter/statements/2010/jun/14/steny-hoyer/hoyer-says-gop-didnt-have-budget-2002-2004-2006/
TriMet	0	MAX carries 30 percent of evening rush-hour commuters traveling from Downtown on the Sunset and Banfield freeways.	They did the math, and they did it right.	/oregon/statements/2013/feb/05/trimet/they-did-math-and-they-did-it-right/
TriMet	3	Without Westside MAX, wed need to add 2.9 lanes to the Sunset Highway.	Carrying capacity is not the same as actual ridership	/oregon/statements/2012/aug/06/trimet/would-we-need-add-29-lanes-sunset-highway-if-not-w/
Theresa Price	4	Rhode Island is leading our nation in foreclosures.	Fallacious foreclosure factoid	/rhode-island/statements/2011/dec/20/theresa-price/rhode-island-activist-says-state-has-highest-rate-/
Mary Jordan	1	The president's party always gets shellacked in midterms. It's only twice, 1934 and 2002, that the president's party actually gained in both the House and the Senate.	Presidents can lose seats without being "shellacked"	/truth-o-meter/statements/2010/sep/07/mary-jordan/do-presidents-always-get-shellacked-midterm-electi/
Valerie Jarrett	4	FACT: Nothing in #Obamacare forces people out of their health plans.	"Nothing" is way too strong a word for what's going on	/truth-o-meter/statements/2013/oct/30/valerie-jarrett/valerie-jarrett-says-nothing-obamacare-forces-peop/
Dan Kapanke	5	Protesters caused $7.5 million in damage to the Wisconsin State House	The claim was just as wrong the first time we heard it	/wisconsin/statements/2011/jun/30/dan-kapanke/wisconsin-sen-dan-kapanke-says-protesters-caused-7/
Jeff Brandes	0	Sometimes I was the only 'no' vote on the entire board.	Brandes stood out on pest control, mobile home bils	/florida/statements/2011/may/26/jeff-brandes/st-petersburg-republican-says-he-bucked-gop-during/
Eric Johnson	2	In fact, oil spills from tankers are far more common than the very rare leaks from rigs or pipelines.	"Very rare"? Try "chronic." 	/georgia/statements/2010/jun/24/eric-johnson/candidate-oil-spills-tankers-more-common-very-rare/
Eric Johnson	4	The last major oil spill from a drilling accident in America happened over 40 years ago in 1969.	Marine spill claim doesn't hold water	/georgia/statements/2010/jun/17/eric-johnson/johnson-says-last-major-drilling-spill-was-1969/
Eric Johnson	5	Obama tells Russia that he'll turn over America's defense system to them if re-elected.	Nyet!	/georgia/statements/2012/apr/02/eric-johnson/interpretation-obama-gaffe-needs-better-defense/
Doreen Costa	0	This is the only state in the country that bypassed the General Assembly to authorize [in-state tuition for undocumented immigrants].	A documented fact.	/rhode-island/statements/2012/apr/05/doreen-costa/rhode-island-state-rep-doreen-costa-says-rhode-isl/
Doreen Costa	4	The studies have shown us that [drug testing for welfare recipients] will be saving us money	Studies show the opposite.	/rhode-island/statements/2011/aug/26/doreen-costa/rep-costa-says-drug-testing-welfare-recipients-wil/
Robert Hurt	2	Congressman Perriello voted in lock step with Nancy Pelosi 90 percent of the time.	Perriello votes with Democrats, but not necessarily Pelosi	/virginia/statements/2010/oct/30/robert-hurt/robert-hurt-says-tom-perriello-voted-lock-step-nan/
Ending Spending Action Fund	3	In six years, (U.S. Rep. Gary) Peters introduced zero bills that became law.	Record says otherwise	/truth-o-meter/statements/2014/aug/20/ending-spending-action-fund/conservative-group-claims-michigan-senate-candidat/
Ash Williams	4	The (State Board of Administration) transparency issue got a great airing the last legislative session.	Legislature discussed for a total of 36 minutes	/florida/statements/2011/aug/02/ash-williams/florida-state-investment-chief-says-transparency-w/
Jim Jordan	1	Eighty percent of all U.S. communities depend solely on trucks to deliver and supply the products sold in stores or ordered online.	Big wheels keep the goods flowing	/ohio/statements/2012/jan/04/jim-jordan/jim-jordan-says-truck-services-often-only-link-us-/
Jim Jordan	1	President Obama's recent plan to cut $100 million of waste within his administration won't actually save money because he's going to spend it elsewhere.	A penny saved is a penny spent	/ohio/statements/2011/dec/01/jim-jordan/jim-jordan-chides-obama-savings-plan-deficit-reloc/
Jim Jordan	2	Federal, state and local governments have subsidized the production of the Volt to the tune of estimates between $50,000 and $250,000 per vehicle sold.	Average cost to keep dropping with each car sold	/ohio/statements/2012/jan/31/jim-jordan/jim-jordan-says-subsidy-volt-averages-out-much-250/
Jim Jordan	2	Only seven of 18 federal food assistance programs have been associated with positive health and nutrition outcomes, while the remaining 11 have not been effective.	Seven were deemed effective, verdict out on the other 11	/ohio/statements/2011/jun/30/jim-jordan/rep-jim-jordan-says-7-18-food-programs-check-out-1/
Jim Jordan	2	Our debt to GDP ratios, our deficit to GDP ratios are quickly approaching the countries we have been reading about for the last year and a half. We are not far behind Ireland, Greece, Portugal and Spain and all these countries we have been reading about.	Ratio on the rise, but economic crisis isn't a certainty	/ohio/statements/2011/feb/16/jim-jordan/rep-jim-jordan-compares-us-debt-troubled-european-/
Jim Jordan	3	exempted Congress and their staff from the full effect of the (health care) law.	A good dose of hyperbole	/ohio/statements/2013/sep/05/jim-jordan/jim-jordan-claims-obama-health-care-decision-exemp/
Greg Steube	4	You know how many children in the history of the United States have died in a fire (at school)? Zero.	He meant to say no fatal school fires in Florida	/florida/statements/2015/apr/06/greg-steube/debate-school-gun-bill-legislator-says-there-have-/
Shelley Moore Capito	4	What (the Obama administration is) going to come out with in the next several months is you're not even going to be able to burn coal very limitedly in the existing plants.	Not what the rules say	/truth-o-meter/statements/2014/aug/07/shelley-moore-capito/will-epa-regulations-stop-plants-burning-coal-shel/
Virginia Foxx	1	There are 3.6 million jobs sitting vacant, in part because there arent enough qualified applicants to fill them.	Right diagnosis, wrong evidence	/truth-o-meter/statements/2013/mar/14/virginia-foxx/rep-virginia-foxx-warns-mismatch-between-skills-av/
Virginia Foxx	5	The economy began its nose dive when Democrats took control of Congress in January 2007.	Is it a nose dive if it's delayed by a full year?	/truth-o-meter/statements/2010/mar/15/virginia-foxx/foxx-blames-recession-democratic-congressional-tak/
Pray in Jesus Name Project	2	The Pentagon under the Obama administration has just acknowledged seizing and burning the privately owned Bibles of American soldiers serving in Afghanistan.	Bibles were confiscated	/truth-o-meter/statements/2009/may/18/pray-jesus-name-project/bibles-sent-soldier-afghanistan-local-distributio/
Nancy Denuccio	4	We've seen the increase of alcohol use for underage kids even though alcohol has been illegal ... for kids under 21.	Teen drinking rates falling, not rising	/rhode-island/statements/2015/mar/13/nancy-devaney/marijuana-legalization-opponent-says-says-alcohol-/
Bloggers	1	U.S. Embassy Celebrates Americas Independence on June 4th in Order to Accommodate Muslims.	Hard to celebrate when people are fasting	/truth-o-meter/statements/2015/jun/10/blog-posting/social-media-posts-say-us-embassy-moved-july-4-cel/
Bloggers	3	Obama has been sending taxpayer dollars, at least $350,000 to fund anti-Likud, anti-Netanyahu groups in Israelfor (the) election.	No paper trail	/punditfact/statements/2015/mar/25/blog-posting/blog-claims-us-funded-anti-netanyahu-election-effo/
Bloggers	3	Students In Fla. High School Forced To Recite Islamic Prayer, Make Prayer Rugs.	A rug art project, yes, but no proof of praying	/florida/statements/2015/feb/24/blog-posting/high-schoolers-had-recite-islamic-prayer-class-mak/
Bloggers	3	By using a little-known loophole ... Obama minions are allowing Nestle Company to export precious fresh water out of Lake Michigan.	The "loophole" is real; Obama's role is minimal	/truth-o-meter/statements/2013/dec/17/blog-posting/viral-blog-posts-say-obama-minions-are-allowing-co/
Bloggers	3	Pentagon confirms they may court martial soldiers who hold Christian faith.	Proselytizing not permitted, but faith no crime	/truth-o-meter/statements/2013/may/06/blog-posting/bloggers-say-pentagon-may-court-martial-christian-/
Bloggers	4	Obama Makes Huge Move to BAN Social Security Recipients From Owning Guns	A scare tactic aimed at senior citizens	/truth-o-meter/statements/2015/jul/30/blog-posting/websites-say-obama-policy-change-means-seniors-gun/
Bloggers	4	Lincoln was fervently making plans to send all freed slaves to the jungles of Central America once the (Civil War) was over.  The only thing that kept this from happening was his assassination.	He let go of colonization idea well before his death	/truth-o-meter/statements/2015/jun/26/blog-posting/did-abraham-lincoln-plan-send-ex-slaves-central-am/
Bloggers	5	Christian Pastor in Vermont Sentenced to One Year in Prison After Refusing to Marry Gay Couple	More fake news passed off as real	/truth-o-meter/statements/2015/jul/16/blog-posting/did-vermont-pastor-get-sentenced-prison-refusing-m/
Bloggers	5	Jay-Z and Beyonce Attempt to Buy Rights to Confederate Flag to Prevent Further Use.	Talk about a false flag	/punditfact/statements/2015/jul/09/blog-posting/its-hoax-jay-z-and-beyonce-arent-trying-buy-rights/
Bloggers	5	Three of five detainees swapped (for Bowe Bergdahl) are now ISIS leaders.	No evidence whatsoever	/truth-o-meter/statements/2014/sep/18/blog-posting/have-three-detainees-swapped-bowe-bergdahl-now-joi/
Bloggers	5	Over 73% of all donations raised (from the ALS Ice Bucket Challenge) are going to fundraising, overhead, executive salaries, and external donations.	Both wrong and uncharitable	/truth-o-meter/statements/2014/sep/02/blog-posting/bloggers-incorrectly-blast-als-ice-bucket-challeng/
Bloggers	5	North Korea is telling its people that their mens national team is in the World Cup final.	Red card time	/punditfact/statements/2014/jul/17/blog-posting/blog-says-north-korea-told-its-people-their-team-m/
Bloggers	5	Justice John Roberts Signed Off On Obamas Arrest For Treason.	Not how the system works ... at all	/truth-o-meter/statements/2014/jul/09/blog-posting/did-john-roberts-issue-arrest-warrant-barack-obama/
Bloggers	5	Florida Democrats just voted to impose Sharia law on women.	Democrats opposed a controversial law but they didn't vote to impose Sharia law 	/florida/statements/2014/may/08/blog-posting/florida-democrats-just-voted-impose-sharia-law-wom/
Bloggers	5	Obamacare Medical Codes Confirm: Execution by Beheading To Be Implemented in America.	Keep your heads, everyone	/truth-o-meter/statements/2014/jan/02/blog-posting/bloggers-say-obamacare-coding-system-could-usher-b/
Bloggers	5	Obama Declares November National Muslim Appreciation Month.	Satire passed off as news	/truth-o-meter/statements/2013/oct/03/blog-posting/obama-declares-november-national-muslim-appreciati/
Bloggers	5	Clinton's former pastor convicted of child molestation.	Oops! Wrong Clinton!	/truth-o-meter/statements/2008/may/14/blog-posting/oops-wrong-clinton/
Bloggers	5	Barack Obama loves Che Guevara.	Flag was there, but Obama wasn't waving it	/truth-o-meter/statements/2008/feb/22/blog-posting/flag-was-there-but-obama-wasnt-waving-it/
Bill Richardson	0	Three out of the 18 benchmarks of the (GAO) have been fulfilled. Even among Republican math, that is a failing grade.	Yep, 3 out of 18	/truth-o-meter/statements/2007/nov/15/bill-richardson/yep-3-out-of-18/
Bill Richardson	1	Today New Mexico (has) the sixth-fastest growing economy.	Not exactly, but close	/truth-o-meter/statements/2007/sep/27/bill-richardson/not-exactly-but-close/
Bill Richardson	1	Bill Richardson is the only major Democratic candidate with a plan to withdraw all American troops from Iraq. All of the other major Democratic candidates support leaving American troops in Iraq indefinitely.	Richardson wants all troops out	/truth-o-meter/statements/2007/sep/23/bill-richardson/richardson-wants-all-troops-out/
Bill Richardson	1	Bill Richardson passed the first law in the nation giving National Guard soldiers $400,000 in life insurance.	First, but with caveats	/truth-o-meter/statements/2007/aug/30/bill-richardson/first-but-with-caveats/
Bill Richardson	1	I used tax cuts to help create over 80,000 jobs in New Mexico.	Richardson takes credit for new jobs	/truth-o-meter/statements/2007/aug/01/bill-richardson/richardson-takes-credit-for-new-jobs/
Bill Richardson	1	New Mexico was 46th in teacher pay (when he was elected), now we're 29th.	Correct, but stats came from friendly group 	/truth-o-meter/statements/2007/jun/12/bill-richardson/correct-but-stats-came-from-friendly-group-/
Bill Richardson	2	I've got the most international experience here.	Yes, he's got experience; but the most? 	/truth-o-meter/statements/2007/nov/04/bill-richardson/yes-hes-got-experience-but-the-most-/
Bill Richardson	2	Going to public financing really disadvantages Democrats because you're not able to raise funds between the day you win the primaries and the time you're officially nominated.	It's not as risky as he says	/truth-o-meter/statements/2007/oct/26/bill-richardson/its-not-as-risky-as-he-says/
Bill Richardson	2	Fences have not worked. The Great Wall of China, the Berlin Wall. That's not good among peoples, especially friends like the United States and Mexico.	Sometimes walls do work	/truth-o-meter/statements/2007/oct/23/bill-richardson/sometimes-walls-do-work/
Bill Richardson	3	Sixty-five percent of the Iraqi people now say it's okay to shoot an American soldier.	He hypes the language, the numbers	/truth-o-meter/statements/2007/dec/21/bill-richardson/he-hypes-the-language-the-numbers/
Bill Richardson	4	Congress' approval rating is 11 percent. You know who's higher? Dick Cheney and HMOs.	Congress and Cheney beat HMOs	/truth-o-meter/statements/2007/nov/15/bill-richardson/congress-and-cheney-beat-hmos/
Bill Richardson	5	Iowa, for good reason, for constitutional reasons, for reasons related to the Lord, should be the first caucus and primary.	Richardson re-writes Bible, Constitution	/truth-o-meter/statements/2007/sep/10/bill-richardson/richardson-re-writes-bible-constitution/
Mika Brzezinski	5	Super Bowl Sunday has the highest rate of domestic violence.	20 years later, still no	/punditfact/statements/2014/sep/18/mika-brzezinski/mika-brzezinski-repeats-myth-super-bowl-sunday-has/
Kathleen Angelucci	3	It is a fact that it costs more to run the schools in August.	Board member's summer vacation claim gets low marks.	/georgia/statements/2011/apr/22/kathleen-angelucci/school-board-member-claims-later-start-date-says-m/
Jeff Stone	0	Im the only candidate for Milwaukee County executive that has voted against increasing government pensions.	Some didnt have the chance, but the state lawmaker is on point	/wisconsin/statements/2011/feb/11/jeff-stone/milwaukee-county-executive-candidate-jeff-stone-sa/
Jeff Stone	0	I never proposed privatizing the (Milwaukee County) airport.	Even a county union leader says plan, if passed, would not have fit the definition	/wisconsin/statements/2011/jan/04/jeff-stone/wisconsin-rep-jeff-stone-says-he-never-proposed-pr/
